trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,21,0,21,0,7.607951875019353,,168.44172200001776,None,,,,,,,0.125,2,168.3079215840553,None,2,0.5804750000243075,169.44151925004553,None,169.44151925004553,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,22,0,22,0,7.607951875019353,,171.22546695900382,None,,,,,,,0.17500000000000002,1,171.0417575419997,None,2,0.6155662080273032,172.22442199999932,None,172.22442199999932,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,23,0,23,0,7.607951875019353,,174.35823670902755,None,,,,,,,0.5,2,173.85741320904344,None,2,0.5644147080020048,175.35761220904533,None,175.35761220904533,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,24,0,24,0,7.607951875019353,,177.1415834170184,None,,,,,,,0.2,2,176.9412471250398,None,2,0.5009913329849951,178.14098008401925,None,178.14098008401925,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,25,0,25,0,7.607951875019353,,179.85854883404681,None,,,,,,,0.17500000000000002,2,179.67557670903625,None,2,4.204640000010841,180.85817495902302,None,180.85817495902302,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,26,0,26,0,7.607951875019353,,186.1417464170372,None,,,,,,,0.05,1,186.0918940420379,None,2,1.4333848330425099,187.1415151670226,None,187.1415151670226,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,27,0,27,0,7.607951875019353,,189.80885750002926,None,,,,,,,0.2,2,189.59531433403026,None,2,0.5032944999984466,190.8086570840096,None,190.8086570840096,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,28,0,28,0,7.607951875019353,,192.4926530420198,None,,,,,,,0.15,1,192.34253120905487,None,1,0.3557538330205716,193.49198508402333,None,193.49198508402333,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,29,0,29,0,7.607951875019353,,195.10913883399917,None,,,,,,,0.225,1,194.87552325002616,None,2,0.4756109159789048,196.10852575005265,None,196.10852575005265,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,30,0,30,0,7.607951875019353,,197.94256433402188,None,,,,,,,0.32500000000000007,2,197.6085810000077,None,2,0.4263662919984199,198.94197483401513,None,198.94197483401513,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,31,0,31,0,7.607951875019353,,200.84246962500038,None,,,,,,,0.45000000000000007,1,200.3919807500206,None,1,0.31321141601074487,201.84187750000274,None,201.84187750000274,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,32,0,32,0,7.607951875019353,,203.50895962503273,None,,,,,,,0.32500000000000007,1,203.17538537504151,None,1,0.4563672919757664,204.50861058401642,None,204.50861058401642,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,33,0,33,0,7.607951875019353,,206.02589983399957,None,,,,,,,0.025,2,205.9928592920187,None,2,2.0255651240004227,207.02568258403335,None,207.02568258403335,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,34,0,34,0,7.607951875019353,,210.57600216701394,None,,,,,,,0.5,2,210.07650862500304,None,1,0.2692058740067296,211.5758833750151,None,211.5758833750151,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,35,0,35,0,7.607951875019353,,213.2263320000493,None,,,,,,,0.35000000000000003,2,212.8757494170568,None,2,0.2783464159583673,214.2260425000568,None,214.2260425000568,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,36,0,36,0,7.607951875019353,,215.90946758404607,None,,,,,,,0.37500000000000006,2,215.52557358401828,None,1,0.23521491698920727,216.90984970901627,None,216.90984970901627,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,37,0,37,0,7.607951875019353,,218.47647266701097,None,,,,,,,0.30000000000000004,1,218.1758085420006,None,1,0.4828687490080483,219.4762610840262,None,219.4762610840262,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,38,0,38,0,7.607951875019353,,221.1267296250444,None,,,,,,,0.15,2,220.97583945904626,None,2,0.4185292500187643,222.12666445900686,None,222.12666445900686,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,39,0,39,0,7.607951875019353,,224.00989391701296,None,,,,,,,0.42500000000000004,1,223.57588712504366,None,2,1.6831634999834932,225.009697875008,None,225.009697875008,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,40,0,40,0,7.607951875019353,,227.99352883402025,None,,,,,,,0.275,1,227.71189412503736,None,None,,228.9931315840222,None,228.9931315840222,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,41,0,41,0,7.607951875019353,,256.04430116701405,None,,,,,,,0.47500000000000003,1,255.56062429200392,None,1,0.4396905419998802,257.04477033403236,None,257.04477033403236,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,42,0,42,0,7.607951875019353,,258.9108727500425,None,,,,,,,0.4,2,258.5112715420546,None,2,0.3866490829968825,259.9109358340502,None,259.9109358340502,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,43,0,43,0,7.607951875019353,,261.57780512503814,None,,,,,,,0.25,1,261.32763220905326,None,2,0.5385922910063528,262.57792925002286,None,262.57792925002286,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,44,0,44,0,7.607951875019353,,264.1775317499996,None,,,,,,,0.025,2,264.1440417920239,None,2,0.20792908302973956,265.1777822920121,None,265.1777822920121,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,45,0,45,0,7.607951875019353,,266.8779028750141,None,,,,,,,0.45000000000000007,1,266.42625629203394,None,1,0.7002873329911381,267.87825191701995,None,267.87825191701995,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,46,0,46,0,7.607951875019353,,269.99476425000466,None,,,,,,,0.37500000000000006,2,269.6109846670297,None,1,0.6630175409954973,270.9947268340038,None,270.9947268340038,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,47,0,47,0,7.607951875019353,,272.878349000006,None,,,,,,,0.2,1,272.6775654590456,None,1,0.5393130829907022,273.87820841703797,None,273.87820841703797,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,48,0,48,0,7.607951875019353,,275.87819145905087,None,,,,,,,0.42500000000000004,2,275.4444652920356,None,2,0.4838450829847716,276.87774337502196,None,276.87774337502196,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,49,0,49,0,7.607951875019353,,278.87838566704886,None,,,,,,,0.5,1,278.3774921250297,None,2,1.1928076240001246,279.87810508400435,None,279.87810508400435,None,,,v,001,2022_Jun_02_1546,test_exp,2021.2.3,60.05825649793622,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.09467175003374,None,,,,,,,
