trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,46.694260875025066,None,50.48656408302486,None,49.50779083301313,None,51.48655158301699,None,,,,,,,,,,,,,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
1,0,1,0,,,,,,,53.93667200001073,None,52.93696454100427,None,54.93674008300877,None,,,,,,,,,,,,,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
2,0,2,0,,,,,,,57.82047541602515,None,56.82066750002559,None,58.82022512500407,None,,,,,,,,,,,,,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,0,0,0,0,46.694260875025066,,67.45398099999875,None,,,,,59.25342375002219,None,0.25,3,67.18928179101204,None,3,1.5188214579829946,68.45371783300652,None,68.45371783300652,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,1,0,1,0,46.694260875025066,,71.05378054102766,None,,,,,,,0.05,2,71.00450445801835,None,3,0.5081872080045287,72.05454829102382,None,72.05454829102382,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,2,0,2,0,46.694260875025066,,73.8545425000193,None,,,,,,,0.25,3,73.6046718750149,None,2,0.39662245800718665,74.85395283301477,None,74.85395283301477,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,3,0,3,0,46.694260875025066,,76.70459087501513,None,,,,,,,0.42500000000000004,2,76.2708323750121,None,2,0.4006851669983007,77.70394020801177,None,77.70394020801177,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,4,0,4,0,46.694260875025066,,79.32148995800526,None,,,,,,,0.17500000000000002,3,79.13763662500423,None,2,0.5318876249948516,80.3208128750266,None,80.3208128750266,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,5,0,5,0,46.694260875025066,,82.32134600001154,None,,,,,,,0.45000000000000007,3,81.87143933301559,None,3,0.5178347500041127,83.32178983301856,None,83.32178983301856,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,6,0,6,0,46.694260875025066,,84.92194695802755,None,,,,,,,0.05,2,84.87282325001433,None,1,0.5063167499902193,85.921379041014,None,85.921379041014,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,7,0,7,0,46.694260875025066,,87.55435304102139,None,,,,,,,0.1,3,87.45453700001235,None,3,0.4406035409774631,88.5553750830004,None,88.5553750830004,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,8,0,8,0,46.694260875025066,,90.35496420800337,None,,,,,,,0.32500000000000007,3,90.02132537501166,None,None,,91.35451362500316,None,91.35451362500316,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,9,0,9,0,46.694260875025066,,92.92183833301533,None,,,,,,,0.17500000000000002,2,92.73841975000687,None,2,0.38551745799486525,93.92130308301421,None,93.92130308301421,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,10,0,10,0,46.694260875025066,,95.78863049999927,None,,,,,,,0.45000000000000007,3,95.3385240000207,None,2,1.004788499994902,96.78807100001723,None,96.78807100001723,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,11,0,11,0,46.694260875025066,,99.10531345801428,None,,,,,,,0.275,3,98.82135058302083,None,3,0.5842894589877687,100.10460991601576,None,100.10460991601576,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,12,0,12,0,46.694260875025066,,102.07192212500377,None,,,,,,,0.35000000000000003,3,101.72133070800919,None,3,0.37153933400986716,103.07125895802164,None,103.07125895802164,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,13,0,13,0,46.694260875025066,,104.50533962500049,None,,,,,,,0.025,2,104.47154566601967,None,1,0.2864489159837831,105.50554008301697,None,105.50554008301697,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,14,0,14,0,46.694260875025066,,107.105513291026,None,,,,,,,0.275,2,106.82151600002544,None,2,0.5509688330057543,108.10503729101038,None,108.10503729101038,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,15,0,15,0,46.694260875025066,,109.92220716600423,None,,,,,,,0.225,2,109.68797025000094,None,2,0.4367854590236675,110.92227812501369,None,110.92227812501369,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,16,0,16,0,46.694260875025066,,112.67237908300012,None,,,,,,,0.275,1,112.3883200000273,None,1,0.36740045799524523,113.67255916600698,None,113.67255916600698,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,17,0,17,0,46.694260875025066,,115.27236724999966,None,,,,,,,0.2,3,115.0722305830277,None,3,0.6473068750055972,116.27183029102162,None,116.27183029102162,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,18,0,18,0,46.694260875025066,,118.1226316250104,None,,,,,,,0.17500000000000002,3,117.93868037502398,None,3,0.5210614170064218,119.12207579100505,None,119.12207579100505,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,19,0,19,0,46.694260875025066,,120.75581337499898,None,,,,,,,0.07500000000000001,2,120.67216675000964,None,1,2.355826999992132,121.75616012501996,None,121.75616012501996,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,20,0,20,0,46.694260875025066,,125.63925366601325,None,,,,,,,0.5,1,125.13925187502173,None,1,0.5339696250157431,126.63905320802587,None,126.63905320802587,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,21,0,21,0,46.694260875025066,,128.3897103330237,None,,,,,,,0.17500000000000002,3,128.2059795000241,None,3,0.6870652500074357,129.38901329101645,None,129.38901329101645,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,22,0,22,0,46.694260875025066,,131.15566083299927,None,,,,,,,0.05,1,131.10576975002186,None,1,0.35401433397782966,132.15606616600417,None,132.15606616600417,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,23,0,23,0,46.694260875025066,,133.83948254102143,None,,,,,,,0.30000000000000004,1,133.53979916599928,None,1,0.35206425000797026,134.83998629101552,None,134.83998629101552,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,24,0,24,0,46.694260875025066,,136.25657925000996,None,,,,,,,0.025,3,136.22281183302402,None,3,0.5366453340102453,137.2564780000248,None,137.2564780000248,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,25,0,25,0,46.694260875025066,,139.00651845801622,None,,,,,,,0.17500000000000002,1,138.82248558301944,None,1,0.31131775001995265,140.00598729102057,None,140.00598729102057,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,26,0,26,0,46.694260875025066,,141.673241875018,None,,,,,,,0.32500000000000007,3,141.33952266600681,None,3,0.8933767499984242,142.67316587502137,None,142.67316587502137,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,27,0,27,0,46.694260875025066,,144.64034204100608,None,,,,,,,0.05,3,144.58933000001707,None,3,0.4045713339874055,145.63965204101987,None,145.63965204101987,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,28,0,28,0,46.694260875025066,,147.2069243750011,None,,,,,,,0.125,1,147.07336537502124,None,1,0.4911041659943294,148.2072724160098,None,148.2072724160098,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,29,0,29,0,46.694260875025066,,149.90729170801933,None,,,,,,,0.17500000000000002,2,149.72339216602268,None,2,2.7814556670200545,150.9068515410181,None,150.9068515410181,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,30,0,30,0,46.694260875025066,,154.99063354101963,None,,,,,,,0.275,1,154.70674625001266,None,1,0.37969274999340996,155.99050691601587,None,155.99050691601587,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,31,0,31,0,46.694260875025066,,157.52415033301804,None,,,,,,,0.125,3,157.39049700001488,None,3,4.094278333999682,158.52364791600849,None,158.52364791600849,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,32,0,32,0,46.694260875025066,,164.0409634160169,None,,,,,,,0.4,3,163.64030404100777,None,2,0.5921730839763768,165.04031079102424,None,165.04031079102424,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,33,0,33,0,46.694260875025066,,166.7903288330126,None,,,,,,,0.125,2,166.6575872079993,None,2,0.4359379999805242,167.79128783300985,None,167.79128783300985,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,34,0,34,0,46.694260875025066,,169.54101583300508,None,,,,,,,0.275,1,169.25763129102415,None,1,0.2828177500050515,170.54038425002364,None,170.54038425002364,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,35,0,35,0,46.694260875025066,,171.8741514160065,None,,,,,,,0.025,2,171.84112033300335,None,2,0.8409639589954168,172.87437166602467,None,172.87437166602467,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,36,0,36,0,46.694260875025066,,174.79086125001777,None,,,,,,,0.05,2,174.74072712502675,None,3,1.1856513750099111,175.79064354102593,None,175.79064354102593,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,37,0,37,0,46.694260875025066,,178.49108912501833,None,,,,,,,0.47500000000000003,3,178.00773966600536,None,2,0.3956037500174716,179.4909712910012,None,179.4909712910012,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,38,0,38,0,46.694260875025066,,181.29120325000258,None,,,,,,,0.37500000000000006,2,180.90793341601966,None,2,0.862454499991145,182.2911421250028,None,182.2911421250028,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,39,0,39,0,46.694260875025066,,184.62466225001845,None,,,,,,,0.45000000000000007,1,184.17448500002502,None,1,0.535004042001674,185.62427579102223,None,185.62427579102223,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,40,0,40,0,46.694260875025066,,187.441799000022,None,,,,,,,0.25,3,187.19206587501685,None,2,0.40023720799945295,188.4411554580147,None,188.4411554580147,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,41,0,41,0,46.694260875025066,,190.19161141602672,None,,,,,,,0.32500000000000007,1,189.8579230000032,None,1,0.3269975000002887,191.19178583301255,None,191.19178583301255,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,42,0,42,0,46.694260875025066,,192.57475804100977,None,,,,,,,0.025,3,192.5414347500191,None,1,0.571902791998582,193.57449658302357,None,193.57449658302357,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,43,0,43,0,46.694260875025066,,195.30791583302198,None,,,,,,,0.125,3,195.17456437501824,None,3,0.7839146250043996,196.30849400002626,None,196.30849400002626,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,44,0,44,0,46.694260875025066,,198.17482783301966,None,,,,,,,0.05,1,198.12500941602048,None,1,0.27897845799452625,199.17484916601097,None,199.17484916601097,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,45,0,45,0,46.694260875025066,,200.7584219580167,None,,,,,,,0.275,2,200.4753332080145,None,1,0.5457151670125313,201.75890729101957,None,201.75890729101957,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,46,0,46,0,46.694260875025066,,203.5754906660004,None,,,,,,,0.25,3,203.32488033300615,None,3,0.9490888750005979,204.57554050002364,None,204.57554050002364,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,47,0,47,0,46.694260875025066,,206.89278104100958,None,,,,,,,0.35000000000000003,3,206.5415143330174,None,3,0.5020554160000756,207.89253879102762,None,207.89253879102762,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,48,0,48,0,46.694260875025066,,209.9256775000249,None,,,,,,,0.5,2,209.4256037910236,None,2,0.8334825829952024,210.92612600000575,None,210.92612600000575,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,49,0,49,0,46.694260875025066,,213.27580350000062,None,,,,,,,0.47500000000000003,1,212.79194012502558,None,1,0.257159375003539,214.27556200002437,None,214.27556200002437,None,,,s,001,2022_May_30_1455,test_exp,2021.2.3,60.057580199492314,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.55861420801375,None,,,,,,,
