trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,8.676520583991078,None,12.140878583988524,None,11.140578666992951,None,13.14099983399501,None,,,,,,,,,,,,,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
1,0,1,0,,,,,,,16.07436504198995,None,15.074147874998744,None,17.07491954199213,None,,,,,,,,,,,,,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
2,0,2,0,,,,,,,19.441012499999488,None,18.441069541993784,None,20.441780749999452,None,,,,,,,,,,,,,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,0,0,0,0,8.676520583991078,,23.791526458997396,None,,,,,20.92770687499433,None,0.45000000000000007,2,23.326699249999365,None,2,0.8628095410094829,24.79115424999327,None,24.79115424999327,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,1,0,1,0,8.676520583991078,,27.108361791993957,None,,,,,,,0.42500000000000004,3,26.67540416699194,None,2,0.31779574998654425,28.108026083995355,None,28.108026083995355,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,2,0,2,0,8.676520583991078,,29.541973208994023,None,,,,,,,0.07500000000000001,3,29.458465083996998,None,1,0.8602660830074456,30.541900999989593,None,30.541900999989593,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,3,0,3,0,8.676520583991078,,32.524937208989286,None,,,,,,,0.1,2,32.424749124998925,None,2,0.6202777919970686,33.52465983398724,None,33.52465983398724,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,4,0,4,0,8.676520583991078,,35.458525541995186,None,,,,,,,0.275,3,35.17510208398744,None,2,1.3739984580024611,36.458017041994026,None,36.458017041994026,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,5,0,5,0,8.676520583991078,,39.25842658399779,None,,,,,,,0.4,2,38.858169833998545,None,3,3.9123847500013653,40.25797791699006,None,40.25797791699006,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,6,0,6,0,8.676520583991078,,45.4752969169931,None,,,,,,,0.275,1,45.19158908398822,None,3,1.0873846670001512,46.474871541999164,None,46.474871541999164,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,7,0,7,0,8.676520583991078,,49.09232520899968,None,,,,,,,0.5,2,48.59169629198732,None,1,1.2809601670014672,50.09226837499591,None,50.09226837499591,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,8,0,8,0,8.676520583991078,,52.89229499999783,None,,,,,,,0.5,2,52.39215849999164,None,2,0.5673344999959227,53.892948875,None,53.892948875,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,9,0,9,0,8.676520583991078,,55.77608995899209,None,,,,,,,0.275,3,55.49173866699857,None,3,2.6251831249974202,56.77615470899036,None,56.77615470899036,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,10,0,10,0,8.676520583991078,,60.62565029198595,None,,,,,,,0.2,3,60.42623008399096,None,2,1.2873333750030724,61.62681479199091,None,61.62681479199091,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,11,0,11,0,8.676520583991078,,64.22630183398724,None,,,,,,,0.275,1,63.94258566699864,None,1,0.2756207080092281,65.22582029199111,None,65.22582029199111,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,12,0,12,0,8.676520583991078,,66.75953424999898,None,,,,,,,0.225,3,66.52636966698628,None,3,0.8477619159966707,67.75959599998896,None,67.75959599998896,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
,,,,13,0,13,0,8.676520583991078,,69.72658191699884,None,,,,,,,0.1,1,69.62666041699413,None,2,4.68556520799757,70.72596179199172,None,70.72596179199172,None,,,s,001,2022_May_29_0140,test_exp,2021.2.3,60.01062176007979,
