trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,vivid_report,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_7.started,text_7.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,1,3.2449931250303052,141.8493585420074,None,141.8493585420074,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,10,0,10,0,8.159392417001072,,146.40022604196565,None,,,,,,,,,0.275,1,146.11667779198615,None,2,2.534655041003134,147.40042999997968,None,147.40042999997968,None,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,2,5.697419500036631,149.96582991699688,None,149.96582991699688,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,11,0,11,0,8.159392417001072,,156.71665766701335,None,,,,,,,,,0.025,2,156.68298799998593,None,1,5.303463707969058,157.71722820901778,None,157.71722820901778,None,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,2,1.375046833010856,163.0497059589834,None,163.0497059589834,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,12,0,12,0,8.159392417001072,,165.7341048750095,None,,,,,,,,,0.275,1,165.4500187090016,None,1,2.2392961240257137,166.7337950419751,None,166.7337950419751,None,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,2,0.8456836240366101,169.0005826249835,None,169.0005826249835,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,13,0,13,0,8.159392417001072,,171.15058758400846,None,,,,,,,,,0.275,1,170.8675025840057,None,2,4.02527037501568,172.15115762501955,None,172.15115762501955,None,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,2,1.1850971670355648,176.20107858401025,None,176.20107858401025,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,14,0,14,0,8.159392417001072,,178.467779708968,None,,,,,,,,,0.05,2,178.41721658397,None,2,1.3368389579700306,179.46736604196485,None,179.46736604196485,None,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,14,0,14,0,,,,,,,,,,,,,,,,,,,,,,,3,3.391742957988754,180.83372008398874,None,180.83372008398874,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,15,0,15,0,8.159392417001072,,185.4516937499866,None,,,,,,,,,0.2,2,185.25097283400828,None,1,1.302795291005168,186.45155624998733,None,186.45155624998733,None,,,,,,,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
,,,,15,0,15,0,,,,,,,,,,,,,,,,,,,,,,,2,1.2113169999793172,187.78435491700657,None,187.78435491700657,None,,,g,001,2022_Jun_03_1549,test_exp,2021.2.3,60.022778538400324,
