trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_6.started,text_6.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,vivid_report,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_7.started,text_7.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,9,0,9,0,,,,,,,,,,,,,,,,,,,,,,,5,2.6282358749886043,142.93765362503473,None,142.93765362503473,None,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,10,0,10,0,15.840487250010483,,146.90506170800654,None,,,,,,,,,0.30000000000000004,2,146.60279454203555,None,2,1.6501790410256945,147.90478495805291,None,147.90478495805291,None,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,10,0,10,0,,,,,,,,,,,,,,,,,,,,,,,4,1.1823380829882808,149.57163283304544,None,149.57163283304544,None,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,11,0,11,0,15.840487250010483,,151.9548140830011,None,,,,,,,,,0.17500000000000002,2,151.77361191704404,None,1,0.5092990410048515,152.95462337502977,None,152.95462337502977,None,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,11,0,11,0,,,,,,,,,,,,,,,,,,,,,,,[],[],153.48844337504124,None,153.48844337504124,None,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,12,0,12,0,15.840487250010483,,155.4385048749973,None,,,,,,,,,0.125,1,155.30738154205028,None,1,0.3697472909698263,156.4381394170341,None,156.4381394170341,None,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,12,0,12,0,,,,,,,,,,,,,,,,,,,,,,,5,0.8683889989624731,156.8384221669985,None,156.8384221669985,None,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,13,0,13,0,15.840487250010483,,158.8223384580342,None,,,,,,,,,0.07500000000000001,1,158.74065237503964,None,1,0.42143375001614913,159.8214503750205,None,159.8214503750205,None,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,13,0,13,0,,,,,,,,,,,,,,,,,,,,,,,5,0.5676157079869881,160.27122637501452,None,160.27122637501452,None,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
,,,,14,0,14,0,15.840487250010483,,162.03849358303705,None,,,,,,,,,0.17500000000000002,2,161.8697650420363,None,1,0.37585833203047514,163.03807804203825,None,163.03807804203825,None,,,,,,,,,gr,001,2022_Jun_07_1206,test_exp,2021.2.3,60.0404371159394,
