trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,text.started,text.stopped,polygon.started,polygon.stopped,image_2.started,image_2.stopped,text_5.started,text_5.stopped,text_4.started,text_4.stopped,stim_interval,correct_resp,image.started,image.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,,,,,7.373524167007417,None,12.332284583011642,None,11.332745375009836,None,13.332190042012371,None,,,,,,,,,,,,,,,s,001,2022_May_29_0131,test_exp,2021.2.3,60.09180513410924,
1,0,1,0,,,,,,,15.899032750006882,None,14.898665542001254,None,16.898882167006377,None,,,,,,,,,,,,,,,s,001,2022_May_29_0131,test_exp,2021.2.3,60.09180513410924,
2,0,2,0,,,,,,,19.199181832998875,None,18.1986701249989,None,20.199020708008902,None,,,,,,,,,,,,,,,s,001,2022_May_29_0131,test_exp,2021.2.3,60.09180513410924,
,,,,0,0,0,0,7.373524167007417,,26.966385417006677,None,,,,,20.499165917004575,None,0.4,3,26.551129416999174,None,1,1.5357443340035388,27.96585670800414,None,27.96585670800414,None,,,s,001,2022_May_29_0131,test_exp,2021.2.3,60.09180513410924,
,,,,1,0,1,0,7.373524167007417,,30.79992708300415,None,,,,,,,0.25,2,30.550145208006143,None,2,0.46810816699871793,31.79939154200838,None,31.79939154200838,None,,,s,001,2022_May_29_0131,test_exp,2021.2.3,60.09180513410924,
,,,,2,0,2,0,7.373524167007417,,33.70007112500025,None,,,,,,,0.4,3,33.299647375009954,None,3,0.3114764589990955,34.69944395800121,None,34.69944395800121,None,,,s,001,2022_May_29_0131,test_exp,2021.2.3,60.09180513410924,
,,,,3,0,3,0,7.373524167007417,,36.366302167007234,None,,,,,,,0.32500000000000007,1,36.032542250002734,None,1,0.34935945899633225,37.366267875011545,None,37.366267875011545,None,,,s,001,2022_May_29_0131,test_exp,2021.2.3,60.09180513410924,
,,,,4,0,4,0,7.373524167007417,,39.23323800000071,None,,,,,,,0.5,2,38.73271604201,None,2,0.2902873749990249,40.23334391700337,None,40.23334391700337,None,,,s,001,2022_May_29_0131,test_exp,2021.2.3,60.09180513410924,
,,,,5,0,5,0,7.373524167007417,,41.64991583301162,None,,,,,,,0.1,1,41.55024783300178,None,1,0.2533374999911757,42.650407207998796,None,42.650407207998796,None,,,s,001,2022_May_29_0131,test_exp,2021.2.3,60.09180513410924,
,,,,6,0,6,0,7.373524167007417,,43.98323287500534,None,,,,,,,0.05,1,43.93336141700274,None,1,0.20855974999722093,44.983596417005174,None,44.983596417005174,None,,,s,001,2022_May_29_0131,test_exp,2021.2.3,60.09180513410924,
